year,country,pop,labor_force,gdp,unemployment_r,pop_over_65,gdp_over_pop,continent,hours_worked_over_pop_combined,pop_0_to_14,pop_15_to_64,gdp_ppp_c,gdp_ppp,gdp_c
1991,China,1150780000,647240828,383373318083.624,2.37,5.39704737448461,333.14214540018423,3,1119.454945524018,NA,NA,2041068761921.05,1258570150059.87,1122543213961.28
1991,"Hong Kong SAR, China",5752000,2897542,88959997899.9293,1.8,8.90465467151137,15465.924530585762,3,1104.3905985581982,NA,NA,190533418942.55,113775538621.65,128779410834.401
1991,Japan,123964000,65401208,3648065760648.88,2.059,12.8981764131666,29428.42890394695,3,1062.3352904464198,NA,NA,4533578883275.26,2631467510417.43,3633170889061.82
1991,"Korea, Rep.",43295704,19597696,330647042837.334,2.407,5.04813243521412,7636.948063884906,3,1151.2942910505917,NA,NA,659318145976.704,410211321362.576,444840963700.951
1991,"Macao SAR, China",362390,156221,3765249711.09098,3.01,6.52748899322692,10390.04859706664,3,1086.7962948111012,NA,NA,19180856574.1122,10029414335.6007,10891834056.9264
1991,Mongolia,2200077,786788,2379018326.31579,5.687,3.75057412776328,1081.334119812984,3,1039.8790087407044,NA,NA,12719772331.1187,6892683694.93992,3494212069.76499
1991,"Korea, Dem. People's Rep.",21115534,11309511,NA,2.394,4.53930515182105,NA,3,995.5592588420266,NA,NA,NA,NA,NA
1992,China,1164970000,655427871,426915712715.856,2.37,5.51404922486478,366.4606923061161,3,1119.3650006169976,NA,NA,2331401191963.71,1470356548625.91,1282219705619.77
1992,"Hong Kong SAR, China",5800500,2880621,104272507639.282,1.96,9.16504367613784,17976.468862905265,3,1046.7799229654877,NA,NA,202412934597.593,123623733597.691,136808642848.108
1992,Japan,124425000,66253382,3980702922117.66,2.158,13.4122782560121,31992.790211916097,3,1052.6642274418325,NA,NA,4574407663005.5,2715675018159.04,3665890719855.77
1992,"Korea, Rep.",43747962,20042803,355524903068.056,2.513,5.22139449323992,8126.662061836299,3,1151.7923590051157,NA,NA,700186922750.594,445566678589.937,472415066061.572
1992,"Macao SAR, China",372370,160739,4914365189.04984,2.197,6.58217174070379,13197.53253229272,3,1100.7792562195325,NA,NA,21731715283.8577,11622175699.4431,12340337134.0367
1992,Mongolia,2236494,811494,1317611863.84977,5.866,3.66562657123752,589.1416940308224,3,1052.268414114197,NA,NA,11542370967.6836,6397199493.09439,3170771527.90814
1992,"Korea, Dem. People's Rep.",21439991,11552895,NA,2.427,4.69278415275454,NA,3,995.5592588420266,NA,NA,NA,NA,NA
1993,China,1178440000,663270310,444731282435.515,2.69,5.66122075324302,377.38983947890006,3,1119.544276080622,NA,NA,2655086622394.26,1714187886840.47,1460239618602.01
1993,"Hong Kong SAR, China",5901000,2951648,120354212475,1.96,9.41761218087664,20395.5621886121,3,1076.4625794695232,NA,NA,214964959209.755,134401881470.409,145292416158.345
